R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
426,2,12,1980,12000,1,2,30,4,2,1,136172,-4,0,5,0,3,4,1,5,7,7,7,3,3,5,6,4720,33,4,2,1,6000,179,1,-2,3,1,3,3,1,4,0,-4,0,12,12,0,1,-4,5090,1,5,-3,2,2,-4,0,0,2
427,1,11,1981,36000,1,2,29,4,2,1,134115,-4,20000,5,3,3,2,0,1,1,7,7,1,1,7,7,6260,32,4,2,1,25000,183,5,1,5,1,5,5,1,2,0,-4,0,12,12,0,1,1,770,1,6,-3,2,2,-4,0,0,2
428,2,11,1984,-4,1,2,26,4,1,1,112473,-4,24000,4,7,4,1,0,1,1,7,7,6,5,6,7,4700,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,2,11,-5,0,1,1,5390,1,6,-3,2,2,-4,0,0,1
429,1,1,1981,600,1,4,29,4,0,1,360690,-4,-4,5,8,5,3,1,4,3,3,5,5,6,5,5,-4,32,4,0,1,-4,304,1,5,1,4,2,1,3,4,1,-4,0,9,9,-4,-4,-4,-4,1,11,12,3,1,-4,4,3,0
430,1,3,1983,53000,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,14,16,4,4,500,0,0,-5
431,2,10,1984,0,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,15,2,-4,300,0,0,-5
432,1,2,1981,29000,1,2,29,4,2,1,132191,-4,130254,5,11,3,1,0,1,1,7,7,6,7,7,2,220,33,4,2,1,100000,200,3,3,3,1,3,2,3,3,0,-4,1,12,12,-4,1,-4,770,0,-3,16,4,4,600,3,1,2
433,2,9,1984,29000,1,2,26,4,2,1,110860,400,-4,5,2,4,3,0,1,5,7,7,7,5,5,2,4600,29,4,3,1,40000,160,3,3,3,1,2,4,1,3,0,400,0,12,15,-4,1,-4,8470,0,-3,16,1,3,600,0,0,3
434,1,4,1982,246474,1,4,28,4,2,1,369377,-4,16000,6,5,2,3,0,6,2,6,4,7,6,3,2,1810,32,4,2,1,74000,190,4,2,5,2,4,5,2,2,0,300,0,12,12,-4,-4,-4,7470,0,16,12,3,3,300,6,3,2
435,2,6,1981,12500,1,2,29,4,7,1,93419,-4,-2,5,5,4,2,0,1,1,7,7,4,1,7,7,3920,32,4,7,1,42000,215,4,3,4,1,5,5,1,3,0,-4,1,12,14,1,3,-4,9590,0,6,14,2,-4,-4,0,0,7
436,2,2,1982,0,1,2,28,4,0,2,101744,-4,-4,-2,-2,3,4,0,1,1,1,6,1,1,7,7,210,31,4,0,2,-4,132,3,-2,3,1,2,2,2,4,0,-4,1,11,11,0,1,-4,180,1,6,6,3,3,600,0,0,0
437,2,7,1981,17500,1,2,29,4,2,1,91400,-4,-4,5,11,3,1,0,1,1,7,7,1,1,7,7,-4,32,4,2,1,-4,165,5,1,3,1,4,4,1,1,0,-4,1,12,12,-4,-4,-4,-4,1,-3,-3,4,4,500,0,0,2
438,1,3,1983,17500,1,2,27,4,2,1,106022,-4,30000,6,2,3,1,0,1,2,6,5,2,4,5,5,5620,30,4,2,1,-4,200,-1,-1,-1,-1,2,4,2,1,0,-4,3,11,11,0,3,-4,3590,1,-3,-3,4,3,500,0,0,2
439,2,5,1984,17500,1,2,26,4,0,1,108465,-4,2000,-2,-2,4,2,0,1,3,6,7,1,1,4,4,4610,29,4,0,1,19000,210,-2,3,5,1,4,5,1,2,0,-4,1,11,11,0,1,-4,8370,1,-3,-3,4,4,500,0,0,0
440,1,8,1980,4000,1,2,30,4,2,1,144665,-4,30000,5,4,4,1,0,1,1,7,7,4,7,7,7,7200,33,4,2,1,30000,238,5,1,5,1,5,5,1,1,0,-4,3,11,14,-4,1,-4,8770,1,9,95,4,2,500,3,3,2
441,1,1,1982,4000,1,2,28,4,0,1,120775,-4,12000,5,6,4,1,0,4,3,6,7,3,6,4,4,7200,31,4,0,1,-1,-1,5,1,5,1,-1,5,1,2,0,-4,3,10,10,-4,1,-4,8770,1,9,95,2,2,500,2,1,0
442,2,3,1981,-4,1,2,29,4,2,1,91400,320,11000,5,5,5,2,0,1,5,6,5,1,1,6,6,3640,33,4,2,1,-2,180,4,3,4,1,4,4,2,2,0,-4,1,12,13,-4,1,-4,7980,1,-3,12,2,3,-4,1,1,4
443,1,6,1980,15000,1,2,30,4,2,1,144665,-4,1200,5,8,3,1,0,1,7,7,7,7,2,7,7,4130,33,4,2,1,9000,173,4,4,4,2,3,3,2,2,0,-4,2,12,12,0,3,-4,8680,1,-3,12,2,1,500,0,0,2
